,keyword,province,type,date,index
140,感冒,911,pc,2022-12-13,179
141,感冒,911,pc,2022-12-14,190
142,感冒,911,pc,2022-12-15,176
143,感冒,911,pc,2022-12-16,152
144,感冒,911,pc,2022-12-17,142
145,感冒,911,pc,2022-12-18,120
146,感冒,911,pc,2022-12-19,135
147,感冒,911,pc,2022-12-20,120
148,感冒,911,pc,2022-12-21,129
149,感冒,911,pc,2022-12-22,125
150,感冒,911,pc,2022-12-23,82
151,感冒,911,pc,2022-12-24,83
152,感冒,911,pc,2022-12-25,89
153,感冒,911,pc,2022-12-26,106
154,感冒,911,pc,2022-12-27,127
155,感冒,911,pc,2022-12-28,95
156,感冒,911,pc,2022-12-29,125
157,感冒,911,pc,2022-12-30,87
158,感冒,911,pc,2022-12-31,78
159,感冒,911,pc,2023-01-01,59
160,感冒,911,wise,2022-12-01,326
161,感冒,911,wise,2022-12-02,344
162,感冒,911,wise,2022-12-03,391
163,感冒,911,wise,2022-12-04,407
164,感冒,911,wise,2022-12-05,553
165,感冒,911,wise,2022-12-06,677
166,感冒,911,wise,2022-12-07,765
167,感冒,911,wise,2022-12-08,850
168,感冒,911,wise,2022-12-09,855
169,感冒,911,wise,2022-12-10,880
170,感冒,911,wise,2022-12-11,899
171,感冒,911,wise,2022-12-12,897
172,感冒,911,wise,2022-12-13,883
173,感冒,911,wise,2022-12-14,875
174,感冒,911,wise,2022-12-15,871
175,感冒,911,wise,2022-12-16,884
176,感冒,911,wise,2022-12-17,769
177,感冒,911,wise,2022-12-18,691
178,感冒,911,wise,2022-12-19,593
179,感冒,911,wise,2022-12-20,528
180,感冒,911,wise,2022-12-21,570
181,感冒,911,wise,2022-12-22,452
182,感冒,911,wise,2022-12-23,461
183,感冒,911,wise,2022-12-24,369
184,感冒,911,wise,2022-12-25,321
185,感冒,911,wise,2022-12-26,313
186,感冒,911,wise,2022-12-27,326
187,感冒,911,wise,2022-12-28,239
188,感冒,911,wise,2022-12-29,247
189,感冒,911,wise,2022-12-30,192
190,感冒,911,wise,2022-12-31,155
191,感冒,911,wise,2023-01-01,193
192,嗓子疼,911,all,2022-12-01,271
193,嗓子疼,911,all,2022-12-02,283
194,嗓子疼,911,all,2022-12-03,265
195,嗓子疼,911,all,2022-12-04,351
196,嗓子疼,911,all,2022-12-05,412
197,嗓子疼,911,all,2022-12-06,534
198,嗓子疼,911,all,2022-12-07,674
199,嗓子疼,911,all,2022-12-08,816
200,嗓子疼,911,all,2022-12-09,1020
201,嗓子疼,911,all,2022-12-10,1002
202,嗓子疼,911,all,2022-12-11,1024
203,嗓子疼,911,all,2022-12-12,1183
204,嗓子疼,911,all,2022-12-13,1205
205,嗓子疼,911,all,2022-12-14,1166
206,嗓子疼,911,all,2022-12-15,1115
207,嗓子疼,911,all,2022-12-16,1090
208,嗓子疼,911,all,2022-12-17,987
209,嗓子疼,911,all,2022-12-18,961
210,嗓子疼,911,all,2022-12-19,913
211,嗓子疼,911,all,2022-12-20,753
212,嗓子疼,911,all,2022-12-21,750
213,嗓子疼,911,all,2022-12-22,657
214,嗓子疼,911,all,2022-12-23,541
215,嗓子疼,911,all,2022-12-24,465
216,嗓子疼,911,all,2022-12-25,396
217,嗓子疼,911,all,2022-12-26,357
218,嗓子疼,911,all,2022-12-27,348
219,嗓子疼,911,all,2022-12-28,347
220,嗓子疼,911,all,2022-12-29,323
221,嗓子疼,911,all,2022-12-30,285
222,嗓子疼,911,all,2022-12-31,228
223,嗓子疼,911,all,2023-01-01,218
224,嗓子疼,911,pc,2022-12-01,59
225,嗓子疼,911,pc,2022-12-02,66
226,嗓子疼,911,pc,2022-12-03,61
227,嗓子疼,911,pc,2022-12-04,64
228,嗓子疼,911,pc,2022-12-05,66
229,嗓子疼,911,pc,2022-12-06,97
230,嗓子疼,911,pc,2022-12-07,110
231,嗓子疼,911,pc,2022-12-08,112
232,嗓子疼,911,pc,2022-12-09,161
233,嗓子疼,911,pc,2022-12-10,99
234,嗓子疼,911,pc,2022-12-11,108
235,嗓子疼,911,pc,2022-12-12,209
236,嗓子疼,911,pc,2022-12-13,220
237,嗓子疼,911,pc,2022-12-14,197
238,嗓子疼,911,pc,2022-12-15,179
239,嗓子疼,911,pc,2022-12-16,168
240,嗓子疼,911,pc,2022-12-17,99
241,嗓子疼,911,pc,2022-12-18,85
242,嗓子疼,911,pc,2022-12-19,116
243,嗓子疼,911,pc,2022-12-20,93
244,嗓子疼,911,pc,2022-12-21,123
245,嗓子疼,911,pc,2022-12-22,108
246,嗓子疼,911,pc,2022-12-23,121
247,嗓子疼,911,pc,2022-12-24,72
